str,ru,en,es
Last saved dhikrs,Последние сохраненные Зикр,Last saved dhikrs,Últimos dhikrs guardados
Edit Dhikr,Редактировать ,Edit Dhikr,Editar Dhikr
Delete,Удалить,Delete,Borrar
Save,Сохранить,Save,Guardar
Activity,Активность,Activity,Actividad
Saved,Сохраненные,Saved,Guardado
settings,настройки,settings,configuración
Dhikr,Зикр,Dhikr,Dhikr
Save Dhikr,Сохранить Зикр,Save dhikr,Guardar dhikr
Enyer title,Название,Enyer title,Título Enyer
Go back to Home Page,Вернуться на главную страницу,Go back to Home Page,Volver a la página de inicio
Language,Язык,Language,Idioma
Select Language:,Выберите язык,Select Language, Seleccionar idioma